family,N,mean_ft_mae_eV_per_atom,zero_shot_mae_eV_per_atom,delta_adapt_eV_per_atom,r_adapt_percent,seeds_worse_than_zs
nitride,10,0.07040,0.06954,0.00086,1.2,5/5
nitride,50,0.07167,0.06954,0.00213,3.1,5/5
nitride,100,0.07567,0.06954,0.00613,8.8,5/5
nitride,200,0.08528,0.06954,0.01574,22.6,5/5
nitride,500,0.07905,0.06954,0.00951,13.7,5/5
nitride,1000,0.07577,0.06954,0.00623,9.0,5/5
oxide,10,0.03624,0.03418,0.00206,6.0,5/5
oxide,50,0.03800,0.03418,0.00381,11.2,5/5
oxide,100,0.03687,0.03418,0.00269,7.9,5/5
oxide,200,0.03658,0.03418,0.00240,7.0,5/5
oxide,500,0.03619,0.03418,0.00200,5.9,5/5
oxide,1000,0.03597,0.03418,0.00179,5.2,5/5
