set,family,N,mean_ft_mae_eV_per_atom,zero_shot_mae_eV_per_atom,delta_adapt_eV_per_atom,r_adapt_percent
protocol_1,nitride,10,0.07040,0.06954,0.00086,1.2
protocol_1,nitride,50,0.07167,0.06954,0.00213,3.1
protocol_1,nitride,100,0.07567,0.06954,0.00613,8.8
protocol_1,nitride,200,0.08528,0.06954,0.01574,22.6
protocol_1,nitride,500,0.07905,0.06954,0.00951,13.7
protocol_1,nitride,1000,0.07577,0.06954,0.00623,9.0
protocol_1,oxide,10,0.03624,0.03418,0.00206,6.0
protocol_1,oxide,50,0.03800,0.03418,0.00381,11.2
protocol_1,oxide,100,0.03687,0.03418,0.00269,7.9
protocol_1,oxide,200,0.03658,0.03418,0.00240,7.0
protocol_1,oxide,500,0.03619,0.03418,0.00200,5.9
protocol_1,oxide,1000,0.03597,0.03418,0.00179,5.2
protocol_2,nitride,10,0.07036,0.06954,0.00082,1.2
protocol_2,nitride,50,0.07022,0.06954,0.00068,1.0
protocol_2,nitride,100,0.07076,0.06954,0.00122,1.8
protocol_2,nitride,200,0.07127,0.06954,0.00173,2.5
protocol_2,nitride,500,0.07574,0.06954,0.00620,8.9
protocol_2,nitride,1000,0.07461,0.06954,0.00507,7.3
protocol_2,oxide,10,0.03677,0.03418,0.00258,7.6
protocol_2,oxide,50,0.03633,0.03418,0.00215,6.3
protocol_2,oxide,100,0.03802,0.03418,0.00383,11.2
protocol_2,oxide,200,0.03667,0.03418,0.00249,7.3
protocol_2,oxide,500,0.03618,0.03418,0.00200,5.8
protocol_2,oxide,1000,0.03549,0.03418,0.00130,3.8
protocol_3,nitride,10,0.07041,0.06954,0.00087,1.2
protocol_3,nitride,50,0.07071,0.06954,0.00117,1.7
protocol_3,nitride,100,0.07176,0.06954,0.00222,3.2
protocol_3,nitride,200,0.07440,0.06954,0.00486,7.0
protocol_3,nitride,500,0.08152,0.06954,0.01198,17.2
protocol_3,nitride,1000,0.07636,0.06954,0.00682,9.8
protocol_3,oxide,10,0.03627,0.03418,0.00208,6.1
protocol_3,oxide,50,0.03844,0.03418,0.00425,12.4
protocol_3,oxide,100,0.03685,0.03418,0.00267,7.8
protocol_3,oxide,200,0.03617,0.03418,0.00199,5.8
protocol_3,oxide,500,0.03586,0.03418,0.00168,4.9
protocol_3,oxide,1000,0.03557,0.03418,0.00139,4.1
