family,N,runs,raw_seed_test_mae_eV_per_atom,raw_seed_best_epochs,mean_test_mae_eV_per_atom,sample_std_test_mae_eV_per_atom_ddof1,zero_shot_mae_eV_per_atom,zero_shot_minus_finetune_mean_eV_per_atom,old_mean_test_mae_eV_per_atom,old_std_test_mae_eV_per_atom,old_minus_corrected_mean_eV_per_atom,units,validation_status
nitride,10,5,"[0.0706750171813221,0.07035530142270582,0.07016121589170754,0.07029903026620958,0.0705313472816151]","[1,1,1,1,1]",0.070404382408712,0.000201246882712684,0.0695420149628485,-0.000862367445863529,0.0874171976077039,0.019905707471725,0.0170128151989919,eV/atom,PASS
nitride,50,5,"[0.07131765058556618,0.07122709850726788,0.0738434412801438,0.07079923387678447,0.07116951574071133]","[1,1,1,1,1]",0.0716713879980947,0.00123012878825667,0.0695420149628485,-0.00212937303524623,0.117292361215434,0.0450689082212162,0.0456209732173396,eV/atom,PASS
nitride,100,5,"[0.07457861391257894,0.07668426000967252,0.07850182431265096,0.07359627905986772,0.07499829198672506]","[1,1,1,1,1]",0.075671853856299,0.00193588280285011,0.0695420149628485,-0.00612983889345055,0.172242414660382,0.0995965317835546,0.0965705608040832,eV/atom,PASS
nitride,200,5,"[0.08637154872783205,0.08519118266133976,0.08460780789629241,0.08527792489140733,0.08495875193221757]","[49,1,1,1,1]",0.0852814432218178,0.00066226950364803,0.0695420149628485,-0.0157394282589693,0.139192430405639,0.0676856344686547,0.0539109871838211,eV/atom,PASS
nitride,500,5,"[0.0796709986372797,0.08017900880918769,0.07871647680193679,0.07792982184289654,0.07873929706825451]","[40,31,50,46,35]",0.079047120631911,0.000883576805379268,0.0695420149628485,-0.00950510566906254,0.0976572126288675,0.01783679848489,0.0186100919969565,eV/atom,PASS
nitride,1000,5,"[0.07575768517899859,0.07429133859763215,0.07676153222853241,0.07628011868974148,0.07577396422039626]","[32,43,38,41,49]",0.0757729277830602,0.000926002334093424,0.0695420149628485,-0.00623091282021168,0.0906513114036484,0.0134795321801905,0.0148783836205882,eV/atom,PASS
oxide,10,5,"[0.03914442616863166,0.03735777772972461,0.034600628164472604,0.035633052163161184,0.03447181468743535]","[1,1,1,1,1]",0.0362415397826851,0.00199170225929858,0.0341836068081309,-0.00205793297455418,0.0417315982291261,0.011115651970745,0.00549005844644102,eV/atom,PASS
oxide,50,5,"[0.03751217836788366,0.03962733690778165,0.0365753312153689,0.036241260656711675,0.04002822036217934]","[33,19,32,27,10]",0.037996865501985,0.00174088119151562,0.0341836068081309,-0.00381325869385415,0.0522985784280128,0.014787255005441,0.0143017129260277,eV/atom,PASS
oxide,100,5,"[0.03635439455507303,0.03667671237008476,0.03701010250597515,0.03604405455249224,0.03828556840750452]","[23,33,49,26,14]",0.0368741664782259,0.000867290435173933,0.0341836068081309,-0.00269055967009504,0.0464986844961983,0.0086372918776446,0.00962451801797237,eV/atom,PASS
oxide,200,5,"[0.036765041385339245,0.036387880564500354,0.036470926337407256,0.0361465084100722,0.03713763155111531]","[28,23,15,40,38]",0.0365815976496869,0.00038141263697312,0.0341836068081309,-0.00239799084155597,0.0457007581041435,0.0086126726032678,0.00911916045445663,eV/atom,PASS
oxide,500,5,"[0.036267172872318544,0.03636778366511607,0.035930687120602274,0.03617321007594471,0.03619995270243838]","[31,7,18,28,50]",0.036187761287284,0.000162143263726882,0.0341836068081309,-0.00200415447915309,0.0429627430893548,0.0062320127537502,0.0067749818020708,eV/atom,PASS
oxide,1000,5,"[0.035983783924215376,0.03614292015472798,0.0359479886665752,0.03596701394001554,0.03581004907678928]","[34,13,23,27,44]",0.0359703511524647,0.000118499444225477,0.0341836068081309,-0.00178674434433378,0.0416922025693482,0.0053332587331144,0.00572185141688352,eV/atom,PASS
