family,N,runs,n_train,n_val,n_test,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,mean_best_epoch,mean_final_batch_size,zero_shot_mae_eV_per_atom,summary_path,transfer_gain_vs_zero_shot
nitride,10,5,5,5,242,0.07040438240871202,0.00020124688271268325,0.02069321095943451,0.01054438054561615,1.0,16.0,0.06954201496284854,results/zero_shot/zero_shot_summary.csv,-0.0008623674458634878
nitride,50,5,45,5,242,0.07167138799809473,0.001230128788256673,0.015189521577623155,0.011440397892147302,1.0,16.0,0.06954201496284854,results/zero_shot/zero_shot_summary.csv,-0.0021293730352461987
nitride,100,5,90,10,242,0.07567185385629904,0.0019358828028501092,0.02204233478547798,0.0282740019261837,1.0,16.0,0.06954201496284854,results/zero_shot/zero_shot_summary.csv,-0.006129838893450507
nitride,200,5,180,20,242,0.08528144322181783,0.0006622695036480338,0.03338403879289722,0.03719478901475668,10.6,16.0,0.06954201496284854,results/zero_shot/zero_shot_summary.csv,-0.01573942825896929
nitride,500,5,450,50,242,0.07904712063191104,0.0008835768053792648,0.024433145502960545,0.03893156773410737,40.4,16.0,0.06954201496284854,results/zero_shot/zero_shot_summary.csv,-0.0095051056690625
nitride,1000,5,900,100,242,0.07577292778306018,0.0009260023340934233,0.020068346046247625,0.027521826646157672,40.6,16.0,0.06954201496284854,results/zero_shot/zero_shot_summary.csv,-0.00623091282021164
oxide,10,5,5,5,1484,0.03624153978268508,0.0019917022592985784,0.012455328926444053,0.01852593244984746,1.0,16.0,0.03418360680813096,results/zero_shot/zero_shot_summary.csv,-0.0020579329745541164
oxide,50,5,45,5,1484,0.03799686550198504,0.0017408811915156162,0.012270117724935215,0.019216160662472247,24.2,16.0,0.03418360680813096,results/zero_shot/zero_shot_summary.csv,-0.0038132586938540783
oxide,100,5,90,10,1484,0.03687416647822593,0.0008672904351739321,0.011233678772631619,0.014619449991732836,29.0,16.0,0.03418360680813096,results/zero_shot/zero_shot_summary.csv,-0.0026905596700949677
oxide,200,5,180,20,1484,0.03658159764968687,0.00038141263697312027,0.009803493103503974,0.013151948899030685,28.8,16.0,0.03418360680813096,results/zero_shot/zero_shot_summary.csv,-0.002397990841555904
oxide,500,5,450,50,1484,0.036187761287284,0.0001621432637268888,0.009329845901319963,0.012836358975619078,26.8,16.0,0.03418360680813096,results/zero_shot/zero_shot_summary.csv,-0.0020041544791530377
oxide,1000,5,900,100,1484,0.03597035115246468,0.00011849944422547848,0.008841837409961348,0.012511528709105083,28.2,16.0,0.03418360680813096,results/zero_shot/zero_shot_summary.csv,-0.0017867443443337142
